PlayerName
A Zakharov
Erik Langborg
Erik Liljestrand
Erik Lindgren
Erik Lindström
Erik Nord
Erik Sundvall
Erik Söderman
Erik Torhall
Erik Werner "Erich Winter"
Erkki Peuhkuri
Erland Jonsson
Erno Lantiainen
Espen Selbak
Estelle Gåfvels Nyren
Etienne Flore
Evert Asplund
Fabian Ljungberg
Fia Lindholm
Filip Ericsson
Filip Hilmersson
Finn Finnstedt
Fiodar Kalinouski
Folke Karlsen
Francois Duhanneau
Frank Messerschmidt "Hamma"
Freddy Lindholm
Fredrik Gunnarsson
Fredrik Hultgren
Fredrik Häggström
Fredrik Jordell
Fredrik Kinell
Fredrik Långström
Fredrik Malm
Fredrik Malmström
Fredrik Martinsson
Fredrik Nilsson
Fredrik Norell
Fredrik Nygren
Fredrik Rayon
Fredrik Sjövall
Fredrik Torkildsen
Fredrik Widengren
Fredrik2 Johansson
Frode Fanuel Horvath
Geir Myklebust
Georgiy Levashov
Goran Jansson
Gunnar Fossli
Gunnar Gillberg
Gunnar Magnusson
Gustaf Möller
Gustaf Silfwerbrand
Gustaf Sundin
Gustav Ackesjö
Gustav Axfors
Gustav Jonsson
Gustav Samuelsson
Göran Larsson
Göran Vikander
Hamacek Filip
Hampus Cedervall
Hampus Fries
Hampus Gustavsson
Hampus Ottosson
Hanna Sundberg
Hans Petersson
Hans Petersson "HP"
Hans Seiz
Hans Söderlund
Harvey Yee
Hedvig Olsson
Henning Fredriksson
Henning Risvold
Henrik Benoni
Henrik Brodin
Henrik Påhlsson
Henrik Rosenberg
Henrik Winsnes
Henrik Zerpe
Herbert Persson
Herman Roholm
Herman Röholm
Hilma Lindholm
Håkan Brandt
Håkan Johansson
Håkan Lindgren
Igge Holmberg
Igor Kashentsev
Igor Kuperman
Ilkka Lehtinen
Ingemar Hedberg
Ingemar Reinholdt
Isac Abrahamsson
Ismo Lahtinen
Iva Maskova
Ivars Vilkens
J-O Hansson
Jacob Lindahl
Jan Berggren Jensen
Jan Börjesson
Jan Eliasson
Jan Hluzek
Jan Hultman
Jan Suchy
Jan Tomastik
Jan Viborg
Jan Westerberg
Jan-Olof Fransson
Jan-Olof Hansson
Jani Lappalainen
Jani Petajasuo
Janis Kirsis
Janne Kalveus
Janne Kokko
Janne Penttila
Janne Roivas
Janne Tiger
Janne Ylonen
Jarle Ihle
Jaroslav Petrek
Jean-Claude Klaus
Jean-Erik Packalen
Jean-Luc Roy
Jens Anderberg
Jens Bengtsson
Jens Freitag "Betze"
Jens Saari
Jens Sundquist
Jerry Eklof
Jerry Eklöf
Jerry Eklöv
Jesper Anderberg
Jesper Ingevaldsson
Jesper Kuusiniemi
Jesper Madsen
Jesper Persson
Jesper Ritzén
Jesper Starkenberg
Jevgeni Mestserjakov
Jim Nordli
Jimmi Schultz
Jimmy Holm
Joachim Klang "Der Joe"
Joachim Lagerström
Joakim Björk
Joakim Johansson
Joakim Kuusiniemi
Joakim Larsson
Joakim Lindblad
Joakim Nilén
Joakim Silvstam
Joakim Thomsson
Joan Mencl
Joan Mencl Ley
Joel Andersen
Joel Ström
Johan Alkerud
Johan Emretsson
Johan Eriksson "Exxon"
Johan Gustafsson
Johan Hagelqvist
Johan Havås
Johan Känngård
Johan Lundahl
Johan Olofsson
Johan Olsén
Johan Pettersson
Johan Sundström
Johan Wejryd
Johan Wendel
Johan ”Exxon” Eriksson
Johannes Lofqvist
Johannes Rönnbrink
Johannes Söderlund
Johannes Westerlund
John Wilhelmsson
John Wreland
Johnny Lundberg
Jon Jonsson
Jonas Abrahamsson
Jonas Eidenby
Jonas Ericson
Jonas Ohlsson
Jonas Olsson
Jonny Stener
Joonatan Roholm
Josef Gotlén
Jozef Linek
Jozef Wallenfels
Juha Erälaukko
Juha Heinonen
Jukka Seppanen
Julia Svensson
Jussi Junnila
Justus Eralaukko
Juuso Rajamaki
Jörgen Holmberg
Jörgen Sundqvist
Jörgen Uhr
Jörgen Åkerlund
Jørgen Jensen
K Jukka
Kai Parviainen
Kalle Moilanen
Kare Martin Leth
Karel Konecny
Karl Olofsson
Kaspar Juul Jensen
Kasper Lindberg
Kay Koskinen
Kazuhiro Hisajima
Kenneth Björk
Kenneth Hansen
Kenneth Wikström
Kent Markusson
Kent Richter
Kevin Nilsson
Kevin Svensson
Kjell Hilmersson
Konsta Jukka
Konstantin Mishurinskikh
Krista Annija LAGZDIŅA
Krister Bäckstrand
Krister Goodh
Krister Lindström
Krister Olsson
Krister Rubensson
Kristian Gunnstedt
Kristian Gustafsson
Kristian Karlsen
Kristian Lönner
Kristijan Curkovic
Kristina Jönsson
Kristoffer Hopper
Kristoffer Kuusiniemi
Kristoffer Wahlgren
Kristoffer Öberg
Lars Bolander
Lars Freitag "Graf Zahl"
Lars Hjort
Lars Kuusiniemi
Lars Lovén
Lars Lundin
Lars Norberg
Lars Sundh
Lars-Eric Andersson
Lasse Søby
Laurent Baraou
Lauri Eronen
Lauri Happo
Lauris Abols
Leif Kaner-Lidström
Leif Lindgren
Lennart Strandberg
Lennart Villumsen
Leon Haussknecht "Fast Hand"
Libor Grabec
Linda Karlsson
Linda Stein
Linus Bengtsson
Linus Ekström
Linus Emanuelsson
Linus Granström
Linus Henningsson
Linus Kullman
Liubomyr Kondrashevskyi
Lonan Bulger
Love Persson
Lubomir Cmil
Lucas Lindberg
Ludvig Karlsson
Lukas Puleo-Sterner
Lukas Stanek
Lukas Turon
Magnus Ahlberg
Magnus Boivie
Magnus Bång
Magnus Karlsson
Magnus Kyllergård
Magnus Lindelöf
Magnus Olsson
Magnus Platemar
Magnus Stattin
Magnus Svensson
Magnus Zettergren
Malte Andersson
Marc Lemaire
Marcus Abrahamsson
Marcus Hilling
Marcus Lidström
Marcus Lönnqvist
Marcus Mattsson
Marcus Norin
Marcus Sundqvist
Marek Szalsza
Maria Olofsson
Maria Wreland
Maria Yalbacheva
Marina Schekotova
Marino Tuljak
Marion Skold
Mariss Emerbergs
Mariuss Toms Kalnins
Marko Curkovic
Marko Iho
Markus Finnhult
Markus Hägglund
Markus Laakso
Markus Larsson
Markus Lundmark
Martin Aasbrenn
Martin Brodin
Martin Carleheden
Martin Claesson
Martin Dahlberg
Martin Drapak
Martin Göran
Martin Härenstam
Martin Ibohm
Martin Kirchgässner
Martin Kralik
Martin Larsson
Martin Lechner
Martin Levin
Martin Lundfall
Martin Rosberg
Martin Wassermann
Martin Ženíšek
Martins Timbers
Martins Zirnis
Matilda Mäkinen
Mats Boren
Mats Dehlbom
Mats Lidström
Mats Mörtsell
Mats Sonefors
Mats Torneklint
Mats Wallin
Mats Österdal
Matteus Åkesson
Matthew Riley
Mattias Bergström
Mattias Edmark
Mattias Grahn
Mattias Jönsson
Mattias Odell
Mattias Söderstedt
Mattias Törnqvist
Matts Andersson
Matts Quiding
Mauritz Jasinski
Max Ahlborn
Max Nordmark
Max Thomsby
Micael Palm
Micael Strömberg
Michael Gellerstam "Johansson/Eklund"
Michael Jonsson
Michael Rönnlund
Michal Boštík
Michal Zunka
Miguel Sanz
Miika Forss
Miikka Pulliainen
Mika Myllykangas
Mikael Carlsson
Mikael Eklund
Mikael Häggström
Mikael Häggström,
Mikael Högenius
Mikael Johnsson
Mikael Jåfs
Mikael Kratz
Mikael Lindelof
Mikael Lundström
Mikael Nylén
Mikael Persson
Mikael Polgary
Mikael Skog
Mikael Stenström
Mikael Svensson
Mikael Svärd
Mike Potvin
Mikhail MARGOLIS
Mikkel Thomson
Mikko Kauppi
Mikus SAULĪTIS
Minerva Martiskainen
Minna Talja
Mio Johansson
Miroslav Hubacek ml.
Morgan Bertilsson
Morgan Martinsson
Máté Szabó
Måns Englund
Måns Larsson
Mårten Hougström
Mårten Persson
Mårten Silvstam
Nadi Tofighian
Nathalie Biais
Navid Golmohammadi
Nicklas Lindberg
Niclas Borné
Niclas Carlsson
Niclas Hansen
Nico Lyksholm
Nico Lyskholm
Nicolai Dahl Jeppesen
Nicolas Fägerlind
Niklas Antonsson
Niklas Chanton
Niklas Emanuelsson
Niklas Hägg
Niklas Larsson
Niklas Pettersson
Niklas Örnros
Nils Borné
Nils Christian Ornsjo
Nils Drevsjømoen
Nils Kullberg Michels
Nils Persson
Nils Tenje
Nina Edgren
Nisse Öystilä
Noel Edling
Noel Ulfvensjö
Norbert Luck
Ola Söderberg
Oliver Sjöström
Olle Bosk
Olle Förare
Olle Köhler
Olle Sten
Olli-Pekka Kuokkanen
Olof Johansson
Olof Lanke
Olov Brändström
Ondrej Chlebo
Ondrej Taldik
Oscar Fredriksson
Oscar Frisk
Oscar Hammar
Oscar Ringdahl
Oskar Hellqvist
Oskari Koskela
Oskars Jansons
Papp Magor
Par E. Lindqwist
Pasi Moisander
Patricia Kapuvari
Patrick Gauvin
Patrik Danielsson
Patrik Esbjornsson "Percy Nilegard"
Patrik Jalneskog
Patrik Lindgren
Patrik Sären
Patrik Åhlin
Paul Shabi
Paul Yli-Tainio "Patous"
Paul-Martin Persson
Pavel Chalus
Pavel Totchasov
Peder Berentsen
Pekka Kerminen
Per Göran
Per Hagelqvist
Per Heydorn
Per Jemth
Per Landahl
Per Rodell
Per Svensson
Per Svärd
Per-Erik Gunnarsson
Perra Svärd
Peter Abrahamsson
Peter Danielsson
Peter Drakenberg
Peter Eriksson
Peter Hill
Peter Nymark
Peter Sjöberg
Peter Stensmyr
Peter Sundqvist
Peter Tellgren
Peter Veikko Madsen
Peter Wallman
Peter-Paul Snelder
Petr Sladek
Petri Storlöpare
Petri Säkkinen
Petrus Negash-Ranes
Petter Lampinen
Petter Lönn
Petter Svensson
Petteri Hintsanen
Philip Casserstål
Philip Simu
Philippe Bonnet
Pierre Bäckström
Pierre Chastenais
Pierre Svensson
Pontus Forsmark
Pontus Paulin Hugo
R Nuttonen
Radim Nevrlik
Radomyr Donets
Raivis MIGLINIEKS
Raivis Miglinieks
Rajiv Bahadur Jonchhay
Rasmus Aarflot
Rasmus Jensén
Rasmus Lundbom
Rasmus Ringdahl
Regan Bulger
Rene Albers "Box Albers"
Rhys Duncan
Richard Bartosek
Richard Lindberg
Rickard Lönner
Rickard Sjögren
Rickard Wester
Rikard Adolfsson
Rikard Arvidsson
Rikard Ekdahl
Rikard Frisk
Rimants Mironovics
Robert Ahlström
Robert Gullberg
Robert Gunnstedt
Robert Håkansson
Robert Isaksson
Robert Jez
Robert Mattisson
Robert Sundén
Roberts Kupcs
Robin Burnett-Cargill
Robin Gellersten Holmgren
Robin Gellersten-Holmgren
Roger Lundin
Roger Sparr
Roger Westh
Roger Westh "Lundin"
Roland Hybelius-Nordin
Rolle Stünkel
Romeo Sunnerstam
Ronald Aderfors
Roni Lavonius
Ronny Bergström
Ruben Wiebe
Sam Saucier
Sami Hernesaho
Sami Merilainen
Sami Sormunen
Samir Dzafic
Samuel Blumer
Samuel Sehlberg
Samuel Villius
Sean Rafferty
Sebastian Haglund
Sebastian Jonsson
Sebastian Saulsson
Semyon Weibull
Seppo Kosonen
Shigeru Kamegaya
Shoji Handa
Silva Nissinen
Silvestr Novotny
Simon Bergelin
Simon Landén
Simon Lederman Greis
Simon Lokko
Sissie Söderberg
Sofia Chanfreau
Sonny Thorgren
Staffan Gréen
Staffan Rydenstam
Stanislav Kraus
Stefan Andersson
Stefan Dietachmayr
Stefan Haldin
Stefan Lindskog
Stefan Nilsson
Stefan Otterström
Stefan Renberg
Stefano Lidström
Stephan Häggström
Stephan Westling
Steve Bernstein
Stian Høie Østrem
Stig Ankardal
Stig Ove Troset
Stolyarov Arseniy
Susanne Waxin
Sven Aderhold
Sven Bengtsson
Sven Bottge "Der Professor"
Sören Berglund
Sören Johansson
Taeko Hisajima
Tage Andersson
Tarja Lindberg
Tatu Rajaniemi
Terje Julusmoen
Theo Kransholm
Theo Sundman
Theodor Ödlund
Thomas Almqvist
Thomas Börsing
Thomas Chan
Thomas Dietachmayr
Thomas Elfström
Thomas Fridén
Thomas Haussknecht "Slow Hand"
Thomas Joyce
Thomas Kjeldsen
Thomas Lunder
Thomas Svensson
Thomas Söderqvist
Tibor Rathonyi
Tiitus Roholm
Tim Marklund
Tim Roivas
Tim Tigges "Animal"
Tim Tigges Frost
Timo Jaaskelainen
Timo Toivonen
Tina Borné
Tindrah Gåfvels Nyren
Tobias Jonsson
Tobias Karlsson
Tobias Sehlberg
Tobias Svehagen
Tom Valier
Tomas Behr
Tomas Chanton
Tomas Elfstrom
Tomas Gunnarsson
Tomas Halama
Tomas Hiekkanen
Tomas Karlsson
Tomas Kasemets
Tomas Kärnebro
Tomas Svensson
Tomas Söderblom
Tomas Vikdahl
Tomas Zamutovsky
Tomi Pettersson
Tomislav Cigula
Tommy Dahlgren
Tommy Eriksson
Tommy Nilsson
Tommy Rensmoen
Tommy Saaf
Tommy Sääf
Toni Carlstedt
Tony Guldmyr
Torbjörn Johansson
Tord Karlsson
Toste Lagerström
Trond Selseng
Ulf Hed
Ulrik Gidå
Ulrik Vidarsson
Valts Grinbergs
Vanja Ulfvensjö
Vicky Malmgren
Victor Enlund
Victor Gåfvels Nyrén
Victoria Bergmark
Victoria Thuresson
Viesturs Lapins
Viktor Gustafsson
Viktor Joelsson
Viktor Magyari
Viktor Åkesson
Ville Hietala
Ville Kauppinen
Vladimir Kraus
Vladimir Sharf
Vladimir Studnicka
Vladimír Kraus
Vlastimil Zajac
Wilma Wallin
Wilmer Ackebo
Zoltan Cserhati
Zoltán Cserháti
Zoltán Szabó
struken
Åke Fransson
Åke Svenman
Örjan Bergström
